"","ID","round","home_team_name","away_team_name","home_team_score","away_team_score","date","home_team_id","away_team_id","home_team_points","away_team_points"
"1",9,1,"Athletico-PR","America-MG",1,0,2021-05-30,2,1,3,0
"2",4,1,"Atletico-MG","Fortaleza",1,2,2021-05-30,4,13,0,3
"3",2,1,"Bahia","Santos",3,0,2021-05-29,5,18,3,0
"4",6,1,"Ceara","Gremio",3,2,2021-05-30,7,14,3,0
"5",8,1,"Chapecoense","Bragantino",0,3,2021-05-30,8,6,0,3
"6",7,1,"Corinthians","Atletico-GO",0,1,2021-05-30,9,3,0,3
"7",1,1,"Cuiaba","Juventude",2,2,2021-05-29,10,16,1,1
"8",5,1,"Flamengo","Palmeiras",1,0,2021-05-30,11,17,3,0
"9",10,1,"Internacional","Sport",2,2,2021-05-30,15,20,1,1
"10",3,1,"Sao Paulo","Fluminense",0,0,2021-05-29,19,12,1,1
"11",15,2,"America-MG","Corinthians",0,1,2021-06-06,1,9,0,3
"12",11,2,"Atletico-GO","Sao Paulo",2,0,2021-06-05,3,19,3,0
"13",13,2,"Bragantino","Bahia",3,3,2021-06-05,6,5,1,1
"14",14,2,"Fluminense","Cuiaba",1,0,2021-06-06,12,10,3,0
"15",16,2,"Fortaleza","Internacional",5,1,2021-06-06,13,15,3,0
"16",337,2,"Gremio","Flamengo",2,2,2021-11-23,14,11,1,1
"17",17,2,"Juventude","Athletico-PR",0,3,2021-06-06,16,2,0,3
"18",18,2,"Palmeiras","Chapecoense",3,1,2021-06-06,17,8,3,0
"19",12,2,"Santos","Ceara",3,1,2021-06-05,18,7,3,0
"20",19,2,"Sport","Atletico-MG",0,1,2021-06-06,20,4,0,3
"21",22,3,"Atletico-MG","Sao Paulo",1,0,2021-06-13,4,19,3,0
"22",25,3,"Bahia","Internacional",0,1,2021-06-13,5,15,0,3
"23",27,3,"Bragantino","Fluminense",2,2,2021-06-13,6,12,1,1
"24",28,3,"Chapecoense","Ceara",0,0,2021-06-13,8,7,1,1
"25",117,3,"Cuiaba","Atletico-GO",2,1,2021-07-21,10,3,3,0
"26",24,3,"Flamengo","America-MG",2,0,2021-06-13,11,1,3,0
"27",26,3,"Fortaleza","Sport",1,0,2021-06-13,13,20,3,0
"28",23,3,"Gremio","Athletico-PR",0,1,2021-06-13,14,2,0,3
"29",21,3,"Palmeiras","Corinthians",1,1,2021-06-12,17,9,1,1
"30",20,3,"Santos","Juventude",0,0,2021-06-12,18,16,1,1
"31",33,4,"America-MG","Cuiaba",0,0,2021-06-17,1,10,1,1
"32",288,4,"Athletico-PR","Flamengo",2,2,2021-11-02,2,11,1,1
"33",36,4,"Atletico-GO","Fortaleza",0,0,2021-06-17,3,13,1,1
"34",34,4,"Ceara","Bahia",1,2,2021-06-17,7,5,0,3
"35",31,4,"Corinthians","Bragantino",1,2,2021-06-16,9,6,0,3
"36",37,4,"Fluminense","Santos",1,0,2021-06-17,12,18,3,0
"37",29,4,"Internacional","Atletico-MG",0,1,2021-06-16,15,4,0,3
"38",32,4,"Juventude","Palmeiras",0,3,2021-06-16,16,17,0,3
"39",30,4,"Sao Paulo","Chapecoense",1,1,2021-06-16,19,8,1,1
"40",35,4,"Sport","Gremio",1,0,2021-06-17,20,14,3,0
"41",43,5,"Athletico-PR","Atletico-GO",2,1,2021-06-20,2,3,3,0
"42",46,5,"Atletico-MG","Chapecoense",1,1,2021-06-21,4,8,1,1
